,,,,,,30,15,30,15,10,,,,,,,
Photo Link,Fecha,Hora,Tipo,Super Cheese,Forma redonda,Tiene Burbuja,Bordes Limpios,Distribución de Ingredientes,Nivel de Horneado,Grasa en Superficie,Puntos Burbuja,Puntos Bordes,Puntos distribucion,Puntos Horneado,Puntos Grasa,Puntaje Total,Criterio
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h12m52s556.png,10/27,12:12,Pepperoni,No,,No,Sí,Aceptable,Correcto,No,35,5,25,20,5,90,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h12m55s824.png,10/27,12:13,Pepperoni,No,,No,Sí,Media,Correcto,No,35,5,20,20,5,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h13m01s431.png,10/27,12:16,3 Meat Treat,No,,Sí,Sí,Media,Correcto,No,0,5,20,20,5,50,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h13m18s344.png,10/27,12:26,Pepperoni,No,,No,Sí,Aceptable,Correcto,No,35,5,25,20,5,90,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h13m20s307.png,10/27,12:26,Pepperoni,No,,No,Sí,Aceptable,Correcto,No,35,5,25,20,5,90,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h13m37s048.png,10/27,12:31,Pepperoni,No,,No,No,Media,Correcto,No,35,0,20,20,5,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h14m01s230.png,10/27,13:05,Pepperoni,No,,Sí,No,Mala,Correcto,No,0,0,10,20,5,35,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h14m06s478.png,10/27,13:07,Pepperoni,No,,No,No,Media,Correcto,No,35,0,20,20,5,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h14m09s431.png,10/27,13:09,Pepperoni,No,,Sí,Sí,Mala,Correcto,No,0,5,10,20,5,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-mirasierra/quality/2025-10-29/vlcsnap-2025-10-28-05h14m18s141.png,10/27,13:12,Pepperoni,No,,Sí,Sí,Mala,Correcto,No,0,5,10,20,5,40,Fail
