,,,,,,30,15,30,15,10,,,,,,,
Photo Link,Fecha,Hora,Tipo,Super Cheese,Forma redonda,Tiene Burbuja,Bordes Limpios,Distribución de Ingredientes,Nivel de Horneado,Grasa en Superficie,Puntos Burbuja,Puntos Bordes,Puntos distribucion,Puntos Horneado,Puntos Grasa,Puntaje Total,Criterio
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h27m15s744.png,11/3,12:42,Pepperoni,No,,No,No,Mala,Correcto,No,35,0,10,20,5,70,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h27m25s803.png,11/3,12:44,3 Meat Treat,No,,No,No,Media,Correcto,No,35,0,20,20,5,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h27m35s659.png,11/3,12:47,Pepperoni,No,,No,No,Mala,Correcto,Sí,35,0,10,20,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h27m52s082.png,11/3,12:52,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h28m31s928.png,11/3,13:17,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h28m43s616.png,11/3,13:18,Pepperoni,No,,No,No,Mala,Bajo,Sí,35,0,10,10,0,55,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h28m54s094.png,11/3,13:20,Pepperoni,No,,No,No,Mala,Correcto,Sí,35,0,10,20,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h29m14s864.png,11/3,13:29,Otra,No,,No,No,Mala,Bajo,No,35,0,10,10,5,60,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h29m18s338.png,11/3,13:32,3 Meat Treat,No,,No,No,Media,Bajo,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h29m37s033.png,11/3,13:54,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h29m47s833.png,11/3,14:01,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h30m02s620.png,11/3,14:05,Pepperoni,No,,No,No,Mala,Correcto,Sí,35,0,10,20,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h30m09s311.png,11/3,14:06,Pepperoni,No,,No,No,Mala,Correcto,Sí,35,0,10,20,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h30m15s152.png,11/3,14:08,3 Meat Treat,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h30m34s086.png,11/3,14:13,Otra,No,,Sí,No,Media,Correcto,Sí,0,0,20,20,0,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m03s224.png,11/3,14:28,LTO,No,,Sí,No,Media,Correcto,Sí,0,0,20,20,0,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m15s186.png,11/3,14:31,Pepperoni,No,,Sí,No,Mala,Correcto,Sí,0,0,10,20,0,30,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m26s967.png,11/3,14:33,Pepperoni,Sí,,No,Sí,Media,Alto,Sí,35,5,20,10,0,70,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m32s678.png,11/3,14:38,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m36s721.png,11/3,14:38,Queso,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m40s782.png,11/3,14:42,Pepperoni,No,,No,No,Mala,Correcto,Sí,35,0,10,20,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h31m49s742.png,11/3,14:46,Pepperoni,No,,Sí,No,Mala,Alto,Sí,0,0,10,10,0,20,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h32m20s438.png,11/3,18:09,LTO,No,,Sí,No,Media,Alto,Sí,0,0,20,10,0,30,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cardenas/quality/2025-11-03/vlcsnap-2025-11-03-23h32m25s547.png,11/3,18:11,LTO,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
