,,,,,,30,15,30,15,10,,,,,,,
Photo Link,Fecha,Hora,Tipo,Super Cheese,Forma redonda,Tiene Burbuja,Bordes Limpios,Distribución de Ingredientes,Nivel de Horneado,Grasa en Superficie,Puntos Burbuja,Puntos Bordes,Puntos distribucion,Puntos Horneado,Puntos Grasa,Puntaje Total,Criterio
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h14m44s189.png,9/29,12:19,Pepperoni,No,,No,Sí,Media,Correcto,No,35,10,15,15,10,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h14m50s954.png,9/29,12:20,Pepperoni,No,,No,Sí,Media,Correcto,No,35,10,15,15,10,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h15m34s568.png,9/29,12:24,Pepperoni,No,,No,No,Aceptable,Correcto,No,35,0,20,15,10,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h16m27s314.png,9/29,12:32,Queso,No,,No,Sí,Correcta,Correcto,No,35,10,30,15,10,100,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h17m14s623.png,9/29,12:52,Pepperoni,No,,No,Sí,Mala,Correcto,No,35,10,5,15,10,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h18m07s194.png,9/29,12:58,Pepperoni,No,,Sí,No,Media,Correcto,No,0,0,15,15,10,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h18m13s197.png,9/29,12:59,Otra,No,,No,No,Aceptable,Correcto,No,35,0,20,15,10,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h18m59s222.png,9/29,13:06,LTO,No,,No,No,Correcta,Correcto,No,35,0,30,15,10,90,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h19m57s609.png,9/29,13:12,LTO,No,,No,Sí,Correcta,Correcto,No,35,10,30,15,10,100,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h20m11s134.png,9/29,13:14,Pepperoni,No,,Sí,No,Mala,Correcto,No,0,0,5,15,10,30,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h20m28s020.png,9/29,13:15,Pepperoni,No,,Sí,Sí,Mala,Correcto,No,0,10,5,15,10,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h21m09s048.png,9/29,13:19,Pepperoni,No,,No,No,Aceptable,Correcto,No,35,0,20,15,10,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-cumbres/quality/2025-09-30/vlcsnap-2025-09-29-18h21m44s855.png,9/29,13:23,Pepperoni,No,,No,No,Aceptable,Correcto,No,35,0,20,15,10,80,Pass
