epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2662,0.51855,1.69178,0.92172,0.9913,0.89759,0.99146,0.93188,0.3945,2.18792,0.8059,0.00048,0.00048,0.00048
2,17.2951,0.46636,0.89421,0.89087,0.86134,0.73372,0.83286,0.58067,0.87773,2.52559,1.09784,0.000960596,0.000960596,0.000960596
3,21.8258,0.47828,0.82211,0.89002,0.95984,0.97638,0.9896,0.91598,0.4153,0.90123,0.80578,0.00142139,0.00142139,0.00142139
4,26.4043,0.50418,0.7416,0.88521,0.99617,0.98425,0.99477,0.88803,0.54083,0.75499,0.83359,0.00186239,0.00186239,0.00186239
5,30.7904,0.46058,0.66611,0.87904,0.9722,0.98425,0.99324,0.92068,0.42948,0.56724,0.7963,0.0018416,0.0018416,0.0018416
6,35.1127,0.44077,0.5929,0.86647,0.98114,0.98425,0.99469,0.92293,0.36196,0.49058,0.79042,0.001802,0.001802,0.001802
7,39.6455,0.47057,0.5746,0.87957,0.97627,0.99213,0.99469,0.93556,0.368,0.55896,0.79887,0.0017624,0.0017624,0.0017624
8,44.2665,0.44428,0.52617,0.86339,0.99058,0.99213,0.995,0.93394,0.36699,0.36391,0.79056,0.0017228,0.0017228,0.0017228
9,48.7251,0.43149,0.49274,0.86781,0.9896,0.99213,0.995,0.97457,0.31494,0.37686,0.78377,0.0016832,0.0016832,0.0016832
10,53.6485,0.42058,0.46103,0.87647,0.97558,0.99213,0.99413,0.94948,0.34662,0.33565,0.78894,0.0016436,0.0016436,0.0016436
11,58.4948,0.4068,0.43469,0.86435,0.96768,1,0.99438,0.94844,0.32555,0.31492,0.78425,0.001604,0.001604,0.001604
12,63.3688,0.43656,0.45257,0.86369,0.98453,1,0.99336,0.96004,0.33115,0.3115,0.78384,0.0015644,0.0015644,0.0015644
13,68.4235,0.39704,0.39927,0.87221,0.98195,1,0.995,0.96846,0.30983,0.28055,0.77901,0.0015248,0.0015248,0.0015248
14,73.3619,0.39439,0.41325,0.86295,0.98881,0.99213,0.99224,0.96177,0.32016,0.25632,0.778,0.0014852,0.0014852,0.0014852
15,78.4234,0.38194,0.389,0.8568,0.98232,1,0.99127,0.96664,0.29563,0.25569,0.77719,0.0014456,0.0014456,0.0014456
16,83.5014,0.36604,0.37738,0.84976,0.97368,1,0.99398,0.9488,0.33461,0.29192,0.78261,0.001406,0.001406,0.001406
17,88.5461,0.37048,0.36846,0.85563,0.97686,0.99213,0.99469,0.96168,0.30732,0.2621,0.77749,0.0013664,0.0013664,0.0013664
18,93.7192,0.37238,0.36092,0.85422,0.99477,1,0.995,0.97431,0.30384,0.21192,0.77571,0.0013268,0.0013268,0.0013268
19,98.5113,0.35559,0.35323,0.84743,0.98355,1,0.99492,0.97516,0.31396,0.22102,0.77706,0.0012872,0.0012872,0.0012872
20,104.051,0.34935,0.32917,0.84735,0.98428,1,0.995,0.96518,0.29599,0.20927,0.77738,0.0012476,0.0012476,0.0012476
21,108.598,0.34664,0.32996,0.84926,0.99744,1,0.995,0.97352,0.30293,0.21007,0.77673,0.001208,0.001208,0.001208
22,113.078,0.34702,0.33113,0.85219,0.99789,1,0.995,0.97092,0.3162,0.22581,0.77843,0.0011684,0.0011684,0.0011684
23,117.808,0.35561,0.33806,0.86303,0.99048,0.99213,0.995,0.97669,0.29148,0.21528,0.7725,0.0011288,0.0011288,0.0011288
24,122.348,0.35194,0.32588,0.85404,0.99484,0.99213,0.995,0.98085,0.27265,0.19723,0.77111,0.0010892,0.0010892,0.0010892
25,126.891,0.34165,0.31102,0.84625,0.99217,0.99754,0.99477,0.97525,0.29157,0.19399,0.77437,0.0010496,0.0010496,0.0010496
26,131.473,0.34984,0.31421,0.84916,0.99589,1,0.995,0.96817,0.30606,0.18943,0.77873,0.00101,0.00101,0.00101
27,135.938,0.33677,0.30354,0.84638,0.98374,1,0.995,0.98006,0.28409,0.20679,0.77437,0.0009704,0.0009704,0.0009704
28,140.46,0.35089,0.30567,0.8582,0.99318,0.99213,0.995,0.97812,0.28343,0.19294,0.77215,0.0009308,0.0009308,0.0009308
29,144.877,0.33238,0.30329,0.84896,0.98207,1,0.99476,0.97194,0.29554,0.21206,0.77357,0.0008912,0.0008912,0.0008912
30,149.414,0.3366,0.2947,0.84478,0.98437,1,0.99445,0.97473,0.28365,0.1971,0.771,0.0008516,0.0008516,0.0008516
31,153.936,0.3364,0.29111,0.85326,0.98436,1,0.99398,0.97903,0.27815,0.19295,0.7708,0.000812,0.000812,0.000812
32,158.553,0.31929,0.27641,0.84282,0.97331,1,0.99397,0.97831,0.26233,0.20664,0.76934,0.0007724,0.0007724,0.0007724
33,163.104,0.31158,0.27492,0.84401,0.99217,0.99777,0.995,0.97838,0.26741,0.22012,0.77205,0.0007328,0.0007328,0.0007328
34,167.623,0.30704,0.2794,0.83654,0.99334,0.99213,0.995,0.97677,0.27417,0.18639,0.77294,0.0006932,0.0006932,0.0006932
35,172.149,0.30043,0.26259,0.836,0.98447,0.99834,0.995,0.97697,0.2707,0.18513,0.77035,0.0006536,0.0006536,0.0006536
36,176.652,0.32206,0.27642,0.83711,0.99555,0.99213,0.995,0.97555,0.2675,0.18279,0.77185,0.000614,0.000614,0.000614
37,181.204,0.30406,0.26878,0.83314,0.99735,1,0.995,0.9799,0.26705,0.16698,0.77146,0.0005744,0.0005744,0.0005744
38,185.87,0.2952,0.26296,0.82914,0.99695,1,0.995,0.97849,0.28002,0.17333,0.77156,0.0005348,0.0005348,0.0005348
39,190.38,0.29102,0.25954,0.83364,0.99536,1,0.995,0.98087,0.26385,0.1719,0.77259,0.0004952,0.0004952,0.0004952
