,,,,,,30,15,30,15,10,,,,,,,
Photo Link,Fecha,Hora,Tipo,Super Cheese,Forma redonda,Tiene Burbuja,Bordes Limpios,Distribución de Ingredientes,Nivel de Horneado,Grasa en Superficie,Puntos Burbuja,Puntos Bordes,Puntos distribucion,Puntos Horneado,Puntos Grasa,Puntaje Total,Criterio
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-19h53m36s097.png,11/17,13:11,Pepperoni,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-19h53m58s555.png,11/17,13:10,Pepperoni,Sí,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-19h54m33s061.png,11/17,13:11,Pepperoni,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-19h57m36s597.png,11/17,13:14,Otra,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h02m17s414.png,11/17,13:15,Pepperoni,Sí,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h05m12s881.png,11/17,13:17,Pepperoni,Sí,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h05m33s338.png,11/17,13:17,Pepperoni,No,,No,Sí,Mala,Correcto,Sí,35,5,10,20,0,70,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h31m01s465.png,11/17,13:26,Queso,No,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h34m22s619.png,11/17,13:51,3 Meat Treat,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h41m43s485.png,11/17,14:29,Pepperoni,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h42m27s232.png,11/17,14:30,Pepperoni,No,,No,No,Aceptable,Correcto,Sí,35,0,25,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h43m24s329.png,11/17,14:31,Pepperoni,No,,No,No,Media,Bajo,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h44m26s563.png,11/17,14:32,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h45m06s992.png,11/17,14:33,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h46m37s823.png,11/17,14:34,Pepperoni,No,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-20h51m26s251.png,11/17,14:53,Otra,No,,No,Sí,Media,Correcto,No,35,5,20,20,5,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h00m02s654.png,11/17,18:07,Pepperoni,Sí,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h00m31s264.png,11/17,18:07,Pepperoni,Sí,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h00m47s105.png,11/17,18:08,Pepperoni,Sí,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h02m53s696.png,11/17,18:12,Pepperoni,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h03m53s252.png,11/17,18:15,Pepperoni,No,,No,No,Aceptable,Correcto,Sí,35,0,25,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h05m18s577.png,11/17,18:16,Pepperoni,No,,No,No,Media,Bajo,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h05m55s654.png,11/17,18:17,Pepperoni,No,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h06m37s664.png,11/17,18:17,Pepperoni,No,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h08m02s039.png,11/17,18:18,Pepperoni,No,,No,No,Media,Alto,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h08m41s122.png,11/17,18:19,Pepperoni,Sí,,No,No,Media,Bajo,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h12m07s070.png,11/17,18:21,Pepperoni,No,,Sí,No,Media,Correcto,Sí,0,0,20,20,0,40,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h12m54s866.png,11/17,18:22,Pepperoni,Sí,,No,No,Media,Bajo,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h13m22s101.png,11/17,18:22,Pepperoni,No,,No,No,Media,Alto,Sí,35,0,20,10,0,65,Fail
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h15m07s699.png,11/17,18:23,3 Meat Treat,Sí,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h16m24s545.png,11/17,18:24,3 Meat Treat,Sí,,No,No,Aceptable,Correcto,Sí,35,0,25,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h17m08s344.png,11/17,18:24,3 Meat Treat,Sí,,No,No,Media,Correcto,Sí,35,0,20,20,0,75,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h18m05s530.png,11/17,18:26,Pepperoni,No,,No,Sí,Aceptable,Correcto,Sí,35,5,25,20,0,85,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h18m42s900.png,11/17,18:26,Pepperoni,No,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
https://gritsee-ensemble.s3.us-east-1.amazonaws.com/pcsapi-molino/quality/2025-11-17/vlcsnap-2025-11-17-21h26m02s607.png,11/17,18:27,Pepperoni,No,,No,Sí,Media,Correcto,Sí,35,5,20,20,0,80,Pass
